Date,Victims
2014-07-01,10841
2014-08-01,11520
2014-09-01,11109
2014-10-01,11361
2014-11-01,11919
2014-12-01,11884
2015-01-01,12644
2015-02-01,11469
2015-03-01,12611
2015-04-01,11266
2015-05-01,11772
2015-06-01,11496
2015-07-01,11528
2015-08-01,11523
2015-09-01,10983
2015-10-01,11474
2015-11-01,12036
2015-12-01,11990
2016-01-01,11781
2016-02-01,11861
2016-03-01,11915
2016-04-01,11004
2016-05-01,11371
2016-06-01,11150
2016-07-01,11482
2016-08-01,11723
2016-09-01,11014
2016-10-01,11367
2016-11-01,11821
2016-12-01,12095
2017-01-01,12310
2017-02-01,11251
2017-03-01,12079
2017-04-01,10496
2017-05-01,11403
2017-06-01,10693
2017-07-01,10794
2017-08-01,11117
2017-09-01,10868
2017-10-01,10767
2017-11-01,11335
2017-12-01,11212
2018-01-01,11692
2018-02-01,10722
2018-03-01,11199
2018-04-01,10141
2018-05-01,10677
2018-06-01,10517
2018-07-01,10081
2018-08-01,10635
2018-09-01,10368
2018-10-01,11007
2018-11-01,11373
2018-12-01,11556
2019-01-01,12113
2019-02-01,10717
2019-03-01,11317
2019-04-01,10447
2019-05-01,11140
2019-06-01,10438
